,Otu19;Clostridiales(o),Otu37;Clostridiales(o),Otu28;Firmicutes(p),Otu44;Clostridiales(o),Otu25;Clostridiales(o),Otu18;Clostridiales(o),Otu23;Lactobacillus(g),Otu12;Lactobacillus(g),Otu30;Clostridiales(o),Otu24;Clostridiales(o),Otu5;Porphyromonadaceae(f),Otu29;Oscillibacter(g),Otu26;Ruminococcaceae(f),Otu2;Bacteroides(g),Otu3;Alistipes(g),Otu35;Clostridiales(o),Otu7;Porphyromonadaceae(f),Otu8;Porphyromonadaceae(f),Otu1;Porphyromonadaceae(f),Otu22;Blautia(g),Otu4;Porphyromonadaceae(f),Otu14;Porphyromonadaceae(f),Otu16;Bacteroidetes(p),Otu21;Clostridiales(o),Otu6;Porphyromonadaceae(f),Otu9;Lactobacillus(g),Otu17;Clostridiales(o),Otu11;Bacteroidales(o),Otu15;Barnesiella(g),Otu13;Porphyromonadaceae(f),Otu10;Bacteroidales(o),Otu27;Bacteroidales(o),Otu20;Turicibacter(g)
Otu063524,0.55098701,-0.198877357,0.187963493,-0.18257523,-0.121160267,0.083473663,0.408553501,0.401419436,-0.307217769,-0.140160651,0.368567585,-0.262357594,-0.094520839,0.385896409,0.096613932,-0.031498126,-0.047215998,-0.073042066,-0.042945353,-0.130681877,0.338678753,0.31947261,-0.231773458,-0.539850236,-0.34989858,0.266479223,-0.260939016,-0.459287449,-0.291983532,-0.461546476,-0.455842476,-0.441419714,-0.358558075
Otu063525,0.558488155,-0.204067211,0.174511282,-0.178793868,-0.116047849,0.080568742,0.409189353,0.407501221,-0.296698943,-0.14042595,0.369455779,-0.265715888,-0.106797107,0.37358256,0.100498582,-0.0227302,-0.059954042,-0.08604013,-0.050169062,-0.122610216,0.33356153,0.301498729,-0.250228613,-0.539282078,-0.35888227,0.275852065,-0.26989431,-0.471867957,-0.309528342,-0.473951108,-0.460993367,-0.455541719,-0.365436327
Otu063530,0.596829286,-0.09916598,0.275711677,-0.050394185,-0.002438375,0.146489794,0.397835379,0.402157437,-0.243615977,-0.095460813,0.392057791,-0.148625544,-0.023689004,0.374505222,0.021006203,-0.0050805,-0.142958342,-0.161556533,-0.002263406,-0.101025477,0.2778401,0.323835933,-0.28615504,-0.493574425,-0.426396809,0.243716109,-0.291722342,-0.501528662,-0.344570405,-0.51213922,-0.492623459,-0.450159686,-0.438910265
Otu063532,0.577984991,-0.06382742,0.277606321,-0.020251094,0.012456995,0.153648617,0.390586503,0.406259485,-0.219557662,-0.062551332,0.404749874,-0.099346699,-0.00331052,0.358657875,-0.027281711,-0.015972242,-0.150695707,-0.162390464,0.015268221,-0.102363223,0.262861701,0.303759355,-0.276021888,-0.446520668,-0.426674263,0.240435857,-0.280801619,-0.492452454,-0.345896408,-0.510585561,-0.493182728,-0.432608638,-0.440604653
Otu063535,0.520124467,0.122879153,0.355629525,0.171065174,0.178332982,0.288482793,0.392215806,0.234510836,-0.059880926,-0.067584438,0.559833099,-0.066061986,0.074987347,0.25337485,-0.139081249,0.156239743,-0.420190587,-0.419297285,-0.04198605,-0.02514953,0.059194172,0.051580698,-0.299522517,-0.188717076,-0.440516705,0.264987055,-0.26745104,-0.54572205,-0.3620958,-0.556542729,-0.487887732,-0.443678311,-0.395781061
Otu063538,0.487443707,0.24533957,0.230918554,0.179165918,0.256636717,0.354973656,0.462269152,0.072234605,-0.004787078,-0.05313818,0.537942724,0.022816045,0.050345697,0.207800256,-0.176209153,0.147906969,-0.447039172,-0.423358385,-0.0631967,0.11433348,-0.098224201,-0.070014779,-0.338316246,0.044579376,-0.45915506,0.281183905,-0.251837237,-0.547997462,-0.411738749,-0.565267282,-0.523814898,-0.43190404,-0.346391329
Otu063583,0.534427684,-0.173052325,0.165076257,-0.187960167,-0.108104654,0.059474321,0.42258238,0.40771328,-0.300268691,-0.123569556,0.39082197,-0.260516357,-0.131193542,0.34999784,0.059480735,-0.04781625,-0.059669401,-0.068606339,-0.017411358,-0.149670942,0.356632977,0.299756343,-0.218230107,-0.522962476,-0.355201446,0.302865775,-0.318740854,-0.457168251,-0.296296215,-0.464070739,-0.464228436,-0.447090269,-0.367207816
Otu063625,0.532936206,-0.043427314,0.193388883,-0.076561932,-0.033178291,0.164190025,0.394049689,0.369177028,-0.161650779,-0.070200172,0.366100794,-0.095017562,-0.032484281,0.282487778,-0.016189362,0.019624639,-0.081721113,-0.0963157,-0.058933792,-0.109699643,0.190840486,0.184143687,-0.269686301,-0.399757924,-0.417649901,0.273871527,-0.267420885,-0.480443809,-0.370035375,-0.512036283,-0.513762241,-0.420651812,-0.394503746
Otu063641,0.503752955,-0.223268603,0.101918811,-0.193182552,-0.149785906,0.056482889,0.360719799,0.405117678,-0.294278577,-0.200000292,0.357521647,-0.317044608,-0.15005939,0.402418294,0.056461424,-0.030599128,-0.019328107,-0.035027615,-0.010475509,-0.119019099,0.295540618,0.259405411,-0.204433783,-0.518273463,-0.349184022,0.314405359,-0.27350247,-0.429467111,-0.272116317,-0.436518233,-0.42138226,-0.405132082,-0.346467112
Otu063643,0.553204126,-0.04504347,0.193006012,-0.078948847,-0.011732156,0.175324404,0.400001366,0.341407044,-0.210893737,-0.136654567,0.436637515,-0.143197999,-0.012197789,0.346122423,-0.004760231,0.030175828,-0.126467277,-0.145392774,-0.084157214,-0.095172403,0.192520004,0.177690947,-0.257315274,-0.442148893,-0.436409405,0.288395454,-0.276183333,-0.524493431,-0.373708573,-0.532318326,-0.535090677,-0.467771825,-0.441065234
Otu063644,0.602406883,0.061169003,0.319964032,-0.0037693,0.046683477,0.209146041,0.372424277,0.255015516,-0.193294965,-0.069528464,0.602791844,-0.097840904,0.008874211,0.310911351,-0.086794977,-0.071553762,-0.197038145,-0.208442453,-0.0076988,-0.167583219,0.191265351,0.12640922,-0.210246255,-0.393020313,-0.442656954,0.25659488,-0.313095133,-0.527523071,-0.366984092,-0.566363877,-0.552348088,-0.474807039,-0.461592091
Otu063758,0.572746875,-0.182063947,0.188220174,-0.151086047,-0.09059163,0.099143668,0.402586197,0.417310039,-0.274315882,-0.125295781,0.369078517,-0.240844927,-0.07791341,0.361338708,0.096030689,-0.017853223,-0.073331977,-0.103045026,-0.062907188,-0.122697277,0.327120102,0.300512016,-0.25406042,-0.540559035,-0.376029932,0.268400616,-0.265193641,-0.490092624,-0.327749545,-0.485035308,-0.484032879,-0.466768836,-0.386703523
Otu063759,0.578115283,-0.151017983,0.223300715,-0.127717641,-0.074517897,0.108731482,0.406986867,0.406349205,-0.287174398,-0.123779301,0.384088664,-0.214107527,-0.066598359,0.377418496,0.055534696,-0.041748493,-0.07191672,-0.103257765,-0.022605747,-0.147726409,0.323233094,0.324339381,-0.233703919,-0.541276902,-0.378734521,0.258212298,-0.265539513,-0.482389125,-0.318697613,-0.477825712,-0.487154013,-0.445635844,-0.399261362
Otu063792,0.520679884,0.015192835,0.22831226,0.050533378,0.069683814,0.192430771,0.373918427,0.32550167,-0.120177244,-0.068475654,0.421354742,-0.022138585,0.07194795,0.276796628,-0.06302483,0.061009295,-0.205892322,-0.189731279,-0.072766911,-0.027855741,0.127499882,0.148079278,-0.340322895,-0.346192363,-0.487148317,0.248513922,-0.326419716,-0.489469361,-0.368388141,-0.536164896,-0.490676909,-0.417693642,-0.440660815
Otu063793,0.552518979,0.04641149,0.246627482,0.064882088,0.106451342,0.192847089,0.388741042,0.309623339,-0.13377073,-0.112831834,0.50675707,-0.065323283,0.032008794,0.284085323,-0.122979044,0.005694027,-0.23675712,-0.23899667,0.009967638,-0.107720492,0.130252578,0.146677386,-0.287925258,-0.364041804,-0.492386909,0.263104112,-0.316181107,-0.52900269,-0.38600968,-0.561018065,-0.508671008,-0.398242852,-0.468944041
Otu063794,0.526117531,0.008802601,0.262926988,0.019010006,0.054497633,0.197256512,0.388219152,0.364235786,-0.145331344,-0.050404653,0.387848232,-0.032936337,0.047239005,0.293712217,-0.074331435,0.027397043,-0.148031209,-0.147155929,-0.024538511,-0.048706117,0.155270834,0.193029006,-0.259233482,-0.364836471,-0.436848891,0.263328755,-0.282413952,-0.476808779,-0.348863505,-0.501602004,-0.494297429,-0.412536689,-0.435520113
Otu063795,0.509582864,-0.010554718,0.207986633,0.031417361,0.039636675,0.163747347,0.383333724,0.333848853,-0.147635499,-0.086454754,0.430955197,-0.042208552,0.050957216,0.297995765,-0.08995942,0.033337128,-0.172430156,-0.161346632,-0.034113022,-0.057302415,0.145035019,0.15948384,-0.33523867,-0.357375442,-0.476032511,0.254356432,-0.32715094,-0.467388395,-0.349405049,-0.523769694,-0.464699962,-0.393886555,-0.424580044
Otu063797,0.530889571,0.005115605,0.24781228,0.004478589,0.064086916,0.21711625,0.382567923,0.349161489,-0.125752924,-0.057629686,0.408120266,-0.029872483,0.068626549,0.285985295,-0.048455666,0.06386134,-0.168997011,-0.16547659,-0.041721691,-0.008659298,0.13782892,0.177723839,-0.30522973,-0.343746303,-0.463010093,0.247140278,-0.290886351,-0.488378591,-0.366090869,-0.532503589,-0.495356839,-0.419411233,-0.442335186
Otu063798,0.523726235,0.025048395,0.259375061,0.059229404,0.080832262,0.232037782,0.421712036,0.295046267,-0.105511156,-0.077253665,0.430359772,-0.055389358,0.092755689,0.286212135,-0.055639463,0.086710694,-0.237607145,-0.217746308,-0.090641223,-0.021337215,0.099053738,0.139110565,-0.336873011,-0.320994343,-0.483670156,0.27811926,-0.308886436,-0.518701769,-0.378456193,-0.556736825,-0.496925329,-0.42981817,-0.418816774
Otu063803,0.548873402,-0.102420068,0.150766435,-0.115957124,-0.045733724,0.149467702,0.394154715,0.351826404,-0.234398134,-0.1543852,0.440748285,-0.181129181,-0.01579757,0.352881965,0.03401507,0.026775286,-0.112782281,-0.137744503,-0.107167816,-0.083696305,0.228871965,0.175003478,-0.262082855,-0.461617596,-0.416776581,0.278983997,-0.256325672,-0.519160953,-0.364733931,-0.527130971,-0.513095815,-0.473780365,-0.426341335
Otu063804,0.532388407,-0.103317066,0.118140961,-0.143728912,-0.071836013,0.134220618,0.38320227,0.350799432,-0.233868119,-0.170774523,0.441721628,-0.20501596,-0.045881225,0.32068365,0.04533267,0.01196429,-0.082210941,-0.10772476,-0.112621404,-0.104159911,0.214671467,0.156650541,-0.265210906,-0.4679612,-0.414035337,0.282152937,-0.273345204,-0.506690937,-0.358075987,-0.514865582,-0.507274505,-0.461341786,-0.409068827
Otu063809,0.540259124,-0.1864414,0.163859932,-0.184248396,-0.120514189,0.087154333,0.389780492,0.399856515,-0.289983741,-0.148241104,0.374435635,-0.254447865,-0.091031623,0.364838071,0.089181022,-0.032134804,-0.040538819,-0.075097791,-0.053939499,-0.142600691,0.32565923,0.30276626,-0.232049361,-0.528324494,-0.345553826,0.25046187,-0.239142766,-0.461087174,-0.293474135,-0.460560341,-0.462487908,-0.434760977,-0.35212592
Otu063814,0.532952083,-0.085458587,0.229551026,-0.113532364,-0.047661473,0.176868125,0.398695051,0.298037142,-0.189109287,-0.090960782,0.394761367,-0.174648123,-0.012714633,0.316599324,0.036497464,0.037099867,-0.143529861,-0.143264797,-0.083682809,-0.048986046,0.182245996,0.187475386,-0.25882115,-0.454103255,-0.408932551,0.316909255,-0.282624072,-0.490614987,-0.364017864,-0.500123748,-0.494101785,-0.428753702,-0.396348646
Otu063816,0.527847941,-0.034019823,0.279506894,-0.023960423,0.024439534,0.180577509,0.379935019,0.344690884,-0.160740812,-0.050602107,0.391208773,-0.092254763,0.015094529,0.311048028,-0.04351709,0.036692314,-0.170048302,-0.162034802,-0.024808108,-0.034881162,0.172056239,0.204910626,-0.257710061,-0.394480354,-0.424906447,0.287005494,-0.290819325,-0.479398333,-0.350399123,-0.505766226,-0.476357612,-0.411434893,-0.417962324
Otu063820,0.541073336,-0.055382487,0.232313398,-0.097074674,-0.011544717,0.200047617,0.403214012,0.289053228,-0.152596802,-0.088404421,0.408723081,-0.183508522,-0.006476118,0.298948577,0.033855765,0.056293936,-0.154907466,-0.146818294,-0.08462161,-0.060728422,0.169502237,0.171790226,-0.251074097,-0.435580906,-0.424198076,0.343374947,-0.31680688,-0.517993227,-0.392799862,-0.525567859,-0.507391941,-0.456214204,-0.403427568
Otu063821,0.549189242,-0.104101055,0.23271559,-0.101427375,-0.027315608,0.161379682,0.385925375,0.341704674,-0.201605213,-0.086531961,0.400038833,-0.196280912,-0.046158721,0.330488454,0.046538605,0.040614972,-0.170702592,-0.162659308,-0.063607523,-0.023072466,0.207444269,0.201243804,-0.256630877,-0.459094452,-0.417982037,0.32749816,-0.308861869,-0.510177209,-0.372426202,-0.510920463,-0.494915945,-0.467350457,-0.42225492
Otu063833,0.533116215,-0.041404064,0.236824256,-0.053906918,0.021922028,0.156315569,0.412343914,0.407794852,-0.157433965,-0.037812731,0.354077204,-0.112583388,-0.050593419,0.266553721,0.011042839,0.060539287,-0.154811919,-0.155476243,-0.045630552,-0.036974485,0.197601083,0.202725677,-0.322722044,-0.395317084,-0.440964826,0.312673729,-0.33403427,-0.479185839,-0.366448659,-0.529023761,-0.483784175,-0.439482239,-0.398861978
Otu063872,0.55919104,-0.03101319,0.132148181,0.028393333,0.047682269,0.112189542,0.382692492,0.267478517,-0.245635623,-0.215020112,0.528689522,-0.204587102,-0.10147525,0.388861749,-0.12681334,-0.025605304,-0.119245868,-0.187488238,0.07802824,-0.178873658,0.182255047,0.162460518,-0.277877962,-0.411958701,-0.452672315,0.266249036,-0.39686451,-0.449846451,-0.360424319,-0.538877336,-0.450712668,-0.42912798,-0.428165967
Otu063944,0.537650036,-0.078835301,0.264390214,-0.108559134,-0.041215039,0.158486531,0.383283563,0.320333782,-0.208779496,-0.088228883,0.39885749,-0.157457949,-0.009607951,0.299549603,0.027792053,0.027257132,-0.121409562,-0.12390171,-0.064266964,-0.055947417,0.182176665,0.205513674,-0.271112562,-0.46443521,-0.425734643,0.279248754,-0.307976902,-0.472070837,-0.348618473,-0.504764051,-0.469669339,-0.402406097,-0.4015357
Otu063997,0.535592778,-0.083017656,0.212306238,-0.098542687,-0.03102834,0.168794406,0.39131332,0.321736641,-0.198102818,-0.112169501,0.409781105,-0.182826363,-0.043019409,0.334200377,0.022338773,0.050393875,-0.157019004,-0.14859961,-0.068766333,-0.031689042,0.170576498,0.172088941,-0.265315381,-0.437024914,-0.426415162,0.33159406,-0.310117746,-0.501743171,-0.367894418,-0.514760979,-0.493709251,-0.451688385,-0.416943927
Otu063999,0.525871625,-0.043887107,0.188597614,-0.024303667,-0.007245673,0.150353373,0.459532463,0.372880443,-0.212828659,-0.135467729,0.42382376,-0.1498132,-0.040455858,0.344181232,-0.081334717,0.016047829,-0.124114141,-0.123142989,-0.024896376,-0.112738117,0.170956339,0.162043447,-0.266292841,-0.384984625,-0.428669449,0.34745659,-0.314010738,-0.498493699,-0.352019751,-0.52244268,-0.480316623,-0.44415326,-0.407580542
Otu064030,0.555733629,-0.18290576,0.199741477,-0.166711632,-0.096425952,0.095196496,0.398547659,0.403177216,-0.29783116,-0.138148935,0.364841572,-0.244327442,-0.086593034,0.380023639,0.098525747,-0.003019082,-0.068659857,-0.096660936,-0.054057237,-0.108999757,0.320301473,0.314732285,-0.255018372,-0.52749925,-0.367383564,0.252874289,-0.264288543,-0.468994961,-0.302158619,-0.477752234,-0.462008963,-0.451324279,-0.369689766
Otu064045,0.597933337,-0.083437092,0.14690415,-0.125653409,-0.035985289,0.176086651,0.339136496,0.347012331,-0.167247789,-0.170401648,0.484407776,-0.207194403,-0.04611824,0.341016044,0.032208119,0.001362554,-0.076483362,-0.11145008,-0.068629183,-0.126617009,0.170058381,0.133253511,-0.238292382,-0.491422681,-0.447841802,0.300825348,-0.272589607,-0.572619205,-0.43135156,-0.557234624,-0.550884059,-0.496721502,-0.472820837
Otu064091,0.5829627,0.030229089,0.262085813,-0.005545013,0.075390808,0.202175943,0.376773367,0.341377429,-0.171376069,-0.094029314,0.492215173,-0.080531943,0.054650936,0.350604567,-0.045437497,0.032631408,-0.164225283,-0.186322346,-0.043606958,-0.111995025,0.174837824,0.188056012,-0.289555122,-0.421011571,-0.483234838,0.27163077,-0.31611962,-0.552893959,-0.414747193,-0.578443922,-0.530081844,-0.481984642,-0.48948759
Otu064092,0.520612243,-0.030102646,0.19205916,0.009619316,-0.000644812,0.138092065,0.415711394,0.337661719,-0.197374043,-0.122070936,0.455929766,-0.07516496,0.018056216,0.317168442,-0.106283452,-0.014715043,-0.139919373,-0.146449851,-0.033547704,-0.122106776,0.162401636,0.160967299,-0.308128148,-0.408392718,-0.453323527,0.268740829,-0.303866195,-0.477203949,-0.341259772,-0.509456306,-0.479437534,-0.400747477,-0.419391285
Otu064093,0.543198907,-0.025610687,0.233502784,-0.02925622,-0.002584158,0.153726177,0.399408516,0.372821688,-0.218324345,-0.101718277,0.428354499,-0.092721701,0.006388327,0.317800434,-0.065414,-0.02195321,-0.107956569,-0.130246833,-0.041999514,-0.129150797,0.197917699,0.199929354,-0.238516892,-0.439032049,-0.420930118,0.261624064,-0.265860045,-0.493437908,-0.346049079,-0.500743339,-0.508042464,-0.425278986,-0.434584685
Otu064095,0.553042018,-0.193721207,0.175783764,-0.171173765,-0.115024788,0.101662391,0.413231737,0.394852955,-0.279843484,-0.135324232,0.355213862,-0.251015713,-0.080201714,0.368975482,0.095444523,-0.012917384,-0.054785194,-0.079273881,-0.064150906,-0.11569624,0.313608468,0.29419622,-0.242230656,-0.52854027,-0.362051425,0.275270937,-0.256418725,-0.473028443,-0.31232339,-0.468002767,-0.474253744,-0.453448501,-0.366132507
Otu064102,0.483177632,0.064727116,0.211451892,0.073525081,0.030487141,0.183751269,0.45267017,0.175167215,-0.120353515,-0.105280762,0.566406828,-0.088954089,-0.026904221,0.266113188,-0.133049372,-0.104937526,-0.289885387,-0.335513732,-0.057697206,-0.146684074,0.021037433,0.035187622,-0.292525248,-0.223882535,-0.429080864,0.297170753,-0.234041084,-0.47797502,-0.333443841,-0.503133859,-0.452233618,-0.379427408,-0.35488378
Otu064139,0.602603768,0.121356514,0.238314665,0.216710752,0.181728078,0.230322169,0.346005522,0.282946997,-0.10324765,-0.11052148,0.582963509,-0.016872148,0.039690001,0.272403078,-0.121827437,-0.04079361,-0.254227135,-0.292313704,-0.002373584,-0.098177973,0.031110058,0.133988028,-0.297081355,-0.33233664,-0.565842974,0.216739891,-0.335107795,-0.498378974,-0.466242631,-0.598114875,-0.520252842,-0.465148138,-0.540636481
Otu064238,0.551654025,-0.001748422,0.207609379,0.095996828,-0.013003181,0.180986806,0.387429669,0.210190638,-0.144916215,-0.10091657,0.574883413,-0.095784639,0.045132367,0.240290534,0.01736551,-0.080131252,-0.274857218,-0.272473769,-0.185584938,-0.081962332,0.047896872,0.038838254,-0.374691532,-0.252947144,-0.494875403,0.203062777,-0.267166771,-0.50709584,-0.381826561,-0.575761158,-0.520558582,-0.431323217,-0.40616636
Otu064239,0.56042577,-0.022895701,0.174650951,-0.078110636,0.017793771,0.211274411,0.424351094,0.321859539,-0.166209775,-0.143331222,0.465087328,-0.156537833,0.010612636,0.33564928,0.011954384,0.074495693,-0.149143938,-0.157697335,-0.116219419,-0.07666951,0.162573837,0.133237406,-0.277687539,-0.408603855,-0.463211509,0.326737395,-0.305712911,-0.563005077,-0.411258447,-0.576232643,-0.554592088,-0.507967911,-0.449224403
Otu064240,0.432046148,0.064907437,0.166529786,0.068037853,0.008513334,0.152402239,0.440355829,0.126385973,-0.14086253,-0.116072103,0.512714338,-0.073211706,0.011634926,0.238844432,-0.127391375,-0.058176212,-0.236043616,-0.230016548,-0.042469555,-0.13807216,-0.00388564,0.013273898,-0.298429013,-0.174371755,-0.450092645,0.349710964,-0.314775562,-0.397275613,-0.319544161,-0.512535286,-0.443205918,-0.340790422,-0.335875822
Otu064270,0.548479503,-0.083761521,0.143328351,-0.135863317,-0.04836711,0.161399709,0.398769266,0.324738094,-0.221752604,-0.153337603,0.451637893,-0.181327669,-0.024650074,0.329368697,0.049504185,0.036816423,-0.106520955,-0.123439052,-0.11614457,-0.077353148,0.200011656,0.149369647,-0.279861087,-0.457961313,-0.437361266,0.292887567,-0.296635302,-0.522953722,-0.384109463,-0.537393553,-0.525189703,-0.482128607,-0.432014159
Otu064274,0.543149635,-0.209263598,0.172634399,-0.188430941,-0.133384867,0.083842761,0.408595943,0.398267914,-0.294226339,-0.135100696,0.356844568,-0.266457759,-0.091117942,0.377546808,0.097566567,-0.034496831,-0.039535435,-0.06301696,-0.04789015,-0.131440023,0.339923765,0.315400757,-0.225559011,-0.537052228,-0.343252156,0.270108812,-0.25282643,-0.456614744,-0.291678715,-0.451908871,-0.458625942,-0.439289056,-0.350017977
Otu064288,0.543532047,-0.128270987,0.191889372,-0.129241072,-0.075002087,0.139801006,0.395204345,0.326118551,-0.22472361,-0.12607085,0.406966236,-0.217534351,-0.070276645,0.351289015,0.041718383,0.023687444,-0.129480465,-0.125646614,-0.055477312,-0.058618924,0.20565508,0.191010019,-0.274430155,-0.467177573,-0.417304843,0.327675491,-0.310000963,-0.490570752,-0.363107148,-0.509567234,-0.477228096,-0.439152796,-0.401368435
Otu064297,0.535985869,-0.104965715,0.162656207,-0.108102302,-0.072034796,0.129567259,0.423575141,0.405292757,-0.181379561,-0.051966417,0.362388968,-0.156147324,-0.05575094,0.314772287,-0.009750853,-0.018032435,-0.081276959,-0.104118763,-0.034306762,-0.144705944,0.266116889,0.234845111,-0.265310593,-0.456378275,-0.390123909,0.324748237,-0.257937279,-0.48779111,-0.370330389,-0.489292212,-0.515921531,-0.447551729,-0.382137415
Otu064329,0.512226158,-0.001954989,0.21950731,0.023294801,0.035306366,0.172958705,0.42810664,0.321004918,-0.145395885,-0.101440471,0.451568634,-0.071339654,0.047454202,0.291358247,-0.102137119,0.02846737,-0.157092698,-0.145036597,-0.037070443,-0.095116955,0.131253046,0.149993917,-0.316953781,-0.356322965,-0.470638797,0.281426643,-0.335917632,-0.486719264,-0.352386951,-0.534827008,-0.472157615,-0.405576731,-0.405973625
Otu064331,0.56586656,0.123344987,0.221456956,0.213537196,0.198561704,0.250220738,0.377603227,0.201639309,-0.060497926,-0.08751343,0.519252147,-0.048443107,0.101665354,0.27498731,-0.129686454,0.047838856,-0.273774439,-0.288470245,0.007533742,-0.072423712,0.06645255,0.053447676,-0.294112385,-0.25982293,-0.556988802,0.271473847,-0.393880036,-0.539719717,-0.461810196,-0.589936997,-0.504240312,-0.459645616,-0.487524159
Otu064332,0.583062194,0.095601738,0.296516622,0.153598942,0.069874841,0.22644396,0.421118962,0.239909303,-0.184520824,-0.082986432,0.550236674,-0.046495997,-0.02654696,0.332708947,-0.152256839,-0.087375094,-0.272465853,-0.264553016,0.033147245,-0.131108098,0.034204207,0.101574062,-0.27002639,-0.343145074,-0.516457757,0.277772567,-0.337230175,-0.466358057,-0.388959452,-0.539847551,-0.489464096,-0.418043895,-0.484759142
Otu064362,0.548621285,-0.097624369,0.201351954,-0.089341618,-0.053439399,0.133801665,0.398736897,0.381510982,-0.206186033,-0.063069297,0.407658966,-0.153612693,-0.038348289,0.337934998,-0.009400274,-0.000667702,-0.133087012,-0.136043387,-0.010359116,-0.100906259,0.243156952,0.243493386,-0.312708378,-0.444075504,-0.434014674,0.304598577,-0.310253774,-0.486944528,-0.375954548,-0.518303984,-0.485324681,-0.432984572,-0.414094137
Otu064406,0.540670441,-0.077064357,0.199832633,-0.076902895,-0.03913983,0.130529347,0.379150587,0.420168272,-0.187251314,-0.049480517,0.372560426,-0.133189469,-0.049422419,0.30148958,-0.011086135,-0.014519319,-0.113210707,-0.145196046,-0.028009351,-0.142562276,0.260175136,0.263679152,-0.287358554,-0.44797352,-0.399162374,0.264682779,-0.246350597,-0.491318779,-0.362302328,-0.497376412,-0.508477855,-0.438197086,-0.390299235
Otu064425,0.578529639,-0.151724926,0.212831243,-0.134091242,-0.075060138,0.112606997,0.422677341,0.414598304,-0.272507495,-0.110252074,0.378730487,-0.209437755,-0.065109672,0.36121145,0.066494113,-0.026619345,-0.077160143,-0.109077511,-0.047062866,-0.132734139,0.313444107,0.3025341,-0.250743355,-0.537988436,-0.384142121,0.276466919,-0.26606129,-0.491296233,-0.331946375,-0.486209893,-0.49887412,-0.46122823,-0.399511358
Otu064447,0.55647686,-0.1970302,0.179371187,-0.176459416,-0.115140887,0.095480807,0.405155163,0.402252639,-0.282659337,-0.136582504,0.362874712,-0.255049376,-0.080956417,0.361838513,0.105772259,-0.019622813,-0.056265091,-0.080869804,-0.065427541,-0.116247589,0.324256475,0.298694189,-0.240953466,-0.532109723,-0.358105676,0.265237336,-0.254842201,-0.470329735,-0.305998588,-0.470265893,-0.466593726,-0.444606967,-0.365413661
Otu064482,0.502539497,-0.060811884,0.149568126,-0.101011337,-0.054103672,0.152686962,0.37389214,0.370895284,-0.155515357,-0.075798301,0.346461059,-0.124147806,-0.036546178,0.264859384,0.000870342,0.051961426,-0.078088734,-0.093030726,-0.099029323,-0.093558125,0.180789617,0.154705927,-0.282732146,-0.390069186,-0.413794179,0.289053837,-0.264659892,-0.474784269,-0.373842238,-0.509886403,-0.500528039,-0.425948255,-0.373691985
Otu064510,0.568444996,-0.022392438,0.259263968,-0.014413345,0.019370875,0.180388014,0.401736852,0.363291963,-0.201582897,-0.094456082,0.43318037,-0.072155134,0.033371739,0.317346971,-0.04551528,-0.003165899,-0.133240213,-0.155186229,-0.043140871,-0.090416494,0.178393981,0.199304967,-0.275658116,-0.432042414,-0.447554981,0.242760289,-0.268839031,-0.507511206,-0.366154957,-0.524135454,-0.513001268,-0.428776239,-0.456197302
Otu064512,0.551892583,-0.189692441,0.175964217,-0.171295245,-0.11453492,0.092726638,0.40734906,0.390483291,-0.294860832,-0.15030833,0.36787728,-0.254825125,-0.088854528,0.377110556,0.094170982,-0.023339099,-0.049389456,-0.075039756,-0.05486799,-0.128033017,0.319856321,0.297774811,-0.238435508,-0.532938809,-0.358029741,0.269431306,-0.262966536,-0.463060484,-0.301104753,-0.466566515,-0.460863005,-0.441072399,-0.362130178
Otu064513,0.56286299,-0.202644836,0.172440364,-0.17949092,-0.121243588,0.090581788,0.420037396,0.411128742,-0.289731453,-0.124247155,0.35935676,-0.255848762,-0.094314706,0.368737245,0.108331902,-0.031177823,-0.050116472,-0.072082187,-0.057597217,-0.12496085,0.344500352,0.304429845,-0.232985481,-0.535160991,-0.354297955,0.279117641,-0.262186381,-0.474392712,-0.314199701,-0.46823491,-0.476894693,-0.461387964,-0.369869489
Otu064516,0.594819515,-0.130924041,0.271949507,-0.081955548,-0.033912391,0.109216228,0.384593843,0.427412301,-0.277877204,-0.097279694,0.382041109,-0.181199404,-0.064926615,0.380768246,0.056938014,-0.028950624,-0.109607785,-0.134074315,-0.016950211,-0.117883819,0.318649506,0.331628003,-0.256280102,-0.523495288,-0.401529853,0.231356393,-0.283695961,-0.49536749,-0.327173548,-0.498492926,-0.485445154,-0.46174956,-0.421747393
Otu064534,0.208322078,-0.013410598,-0.03263564,-0.250721308,0.073876681,0.049173243,0.427923691,0.057108736,-0.200255857,-0.097873046,0.167437375,-0.352397664,-0.130899693,0.314383293,-0.129955078,0.159956589,-0.094417213,-0.067139911,0.189520885,-0.053464655,0.282941291,-0.009001669,-0.092380581,-0.257084857,-0.239403271,0.531910095,-0.541701893,-0.244914893,-0.147720383,-0.271311247,-0.201789479,-0.327209879,-0.089373394
Otu064556,0.551000555,-0.206608863,0.17735873,-0.175936659,-0.127998818,0.065501575,0.41995239,0.405531715,-0.312298362,-0.155396677,0.387772473,-0.278583913,-0.121187896,0.396565959,0.065389652,-0.046415499,-0.062097625,-0.07828731,-0.012795364,-0.133426463,0.328927672,0.305919959,-0.24307244,-0.545284778,-0.36556198,0.298662881,-0.28975929,-0.456110733,-0.289316196,-0.464492021,-0.447965956,-0.426254969,-0.368109335
